Sr No,Date,Question no,Response,Result,Correct response if wrong,Mistake type,Comments,Section,Type,Book,Time taken
29,10/24/13,29,A,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
30,10/24/13,30,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
31,10/24/13,31,D,Incorrect,C,Silly mistake,Did not read the answers correctly,Critical Reasoning,Strengthen,Official Guide 12th Edition,
32,10/24/13,32,C,Correct,,,,Critical Reasoning,Weaken,Official Guide 12th Edition,
33,10/24/13,33,C,Correct,,,,Critical Reasoning,Complete Argument,Official Guide 12th Edition,
34,10/24/13,34,D,Correct,,,,Critical Reasoning,Describe Argument,Official Guide 12th Edition,
35,10/24/13,35,A,Incorrect,B,Silly mistake,Did not read the answers correctly,Critical Reasoning,Strengthen,Official Guide 12th Edition,
36,10/24/13,36,E,Incorrect,A,Silly mistake,Wrong assumption,Critical Reasoning,Evaluate,Official Guide 12th Edition,
37,10/24/13,37,D,Correct,,,,Critical Reasoning,Weaken,Official Guide 12th Edition,
38,10/24/13,38,D,Incorrect,B,Concept mistake,Wrong assumption,Critical Reasoning,Inference,Official Guide 12th Edition,
39,10/24/13,39,B,Incorrect,E,Silly mistake,Did not read the answers correctly,Critical Reasoning,Complete Argument,Official Guide 12th Edition,
40,10/24/13,40,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 12th Edition,
41,10/28/13,41,E,Incorrect,D,Silly mistake,Wrong assumption,Critical Reasoning,Assumption,Official Guide 13th Edition,
42,10/28/13,42,C,Correct,,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,
43,10/28/13,43,D,Incorrect,A,Silly mistake,Did not read the answers correctly,Critical Reasoning,Weaken,Official Guide 13th Edition,
44,10/28/13,44,A,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,
45,10/28/13,45,D,Incorrect,A,Silly mistake,Did not read the answers correctly,Critical Reasoning,Strengthen,Official Guide 13th Edition,
46,10/28/13,46,C,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,
47,10/28/13,47,C,Correct,,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,
48,10/28/13,48,C,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,
49,10/28/13,49,C,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,
50,10/28/13,50,B,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,
51,10/29/13,51,E,Incorrect,D,Silly mistake,Did not read the answers correctly,Critical Reasoning,Weaken,Official Guide 13th Edition,2.0000000065
52,10/29/13,52,B,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,4.4833333336
53,10/29/13,53,E,Incorrect,A,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,2.8833333263
54,10/29/13,54,C,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,3.5666666727
55,10/29/13,55,D,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,1.6166666674
56,10/29/13,56,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,1.8000000017
57,10/29/13,57,E,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,3.2833333255
58,10/29/13,58,D,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,2.3166666739
59,10/29/13,59,D,Incorrect,E,,,Critical Reasoning,Complete Argument,Official Guide 13th Edition,2.0499999973
60,10/29/13,60,B,Incorrect,A,,,Critical Reasoning,Inference,Official Guide 13th Edition,5.61666667
61,11/17/13,61,D,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,00:00:34
62,11/17/13,62,B,Incorrect,A,Tough,,Critical Reasoning,Weaken,Official Guide 13th Edition,00:01:11
63,11/17/13,63,C,Correct,,,,Critical Reasoning,Describe Role,Official Guide 13th Edition,00:01:56
64,11/17/13,64,B,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,00:00:31
65,11/17/13,65,A,Correct,,,,Critical Reasoning,Complete Argument,Official Guide 13th Edition,00:01:21
66,11/17/13,66,A,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,00:00:14
67,11/17/13,67,E,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,00:00:17
68,11/17/13,68,D,Correct,,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,00:00:25
69,11/17/13,69,A,Correct,,,,Critical Reasoning,Complete Argument,Official Guide 13th Edition,00:00:15
70,11/17/13,70,C,Correct,,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,00:00:35
71,11/17/13,71,D,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,00:00:09
72,11/17/13,72,A,Incorrect,D,Silly mistake – Answer,,Critical Reasoning,Evaluate,Official Guide 13th Edition,00:01:17
73,11/17/13,73,D,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,00:01:30
74,11/17/13,74,C,Correct,,,,Critical Reasoning,Complete Argument,Official Guide 13th Edition,00:01:24
75,11/17/13,75,D,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,00:01:18
76,11/17/13,76,D,Correct,,,,Critical Reasoning,Describe Role,Official Guide 13th Edition,00:01:47
77,11/17/13,77,A,Incorrect,B,Tough,,Critical Reasoning,Assumption,Official Guide 13th Edition,00:02:36
78,11/17/13,78,D,Correct,,,,Critical Reasoning,Describe Role,Official Guide 13th Edition,00:02:28
79,11/17/13,79,B,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,00:01:21
80,11/17/13,80,E,Incorrect,D,Tough,,Critical Reasoning,Weaken,Official Guide 13th Edition,00:02:30
81,11/19/13,81,D,Correct,D,,,Critical Reasoning,Complete Argument,Official Guide 13th Edition,01:13:10
82,11/19/13,82,B,Incorrect,E,,,Critical Reasoning,Weaken,Official Guide 13th Edition,01:51:16
83,11/19/13,83,E,Correct,E,,,Critical Reasoning,Assumption,Official Guide 13th Edition,02:08:05
84,11/19/13,84,C,Correct,C,,,Critical Reasoning,Describe Argument,Official Guide 13th Edition,01:33:22
85,11/19/13,85,C,Correct,C,,,Critical Reasoning,Describe Argument,Official Guide 13th Edition,02:03:06
86,11/19/13,86,D,Correct,D,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,02:15:07
87,11/19/13,87,E,Incorrect,C,,,Critical Reasoning,Weaken,Official Guide 13th Edition,02:37:19
88,11/19/13,88,B,Incorrect,A,,,Critical Reasoning,Weaken,Official Guide 13th Edition,02:57:17
89,11/19/13,89,A,Correct,A,,,Critical Reasoning,Describe Role,Official Guide 13th Edition,01:56:22
90,11/19/13,90,D,Correct,D,,,Critical Reasoning,Weaken,Official Guide 13th Edition,02:52:11
91,11/19/13,91,,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,08:38:00
92,11/19/13,92,,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,12:18:00
93,11/19/13,93,,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,01:25:16
94,11/19/13,94,,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,03:21:52
95,11/19/13,95,,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,04:29:24
96,11/19/13,96,,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,01:54:21
97,11/19/13,97,,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,02:06:46
98,11/19/13,98,,Correct,,,,Critical Reasoning,Describe Role,Official Guide 13th Edition,02:16:13
99,11/19/13,99,,Correct,,,,Critical Reasoning,Explain Discrepancy,Official Guide 13th Edition,02:12:00
100,11/19/13,100,,Correct,,,,Critical Reasoning,Flaw,Official Guide 13th Edition,02:48:32
101,11/22/13,101,,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,01:33:24
102,11/22/13,102,,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,02:29:25
103,11/22/13,103,,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,03:19:00
104,11/22/13,104,,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,02:56:12
105,11/22/13,105,,Correct,,,,Critical Reasoning,Inference,Official Guide 13th Edition,01:50:54
106,11/22/13,106,,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,01:33:33
107,11/22/13,107,,Correct,,,,Critical Reasoning,Weaken,Official Guide 13th Edition,03:08:37
108,11/22/13,108,,Correct,,,,Critical Reasoning,Strengthen,Official Guide 13th Edition,01:27:43
109,11/22/13,109,,Correct,,,,Critical Reasoning,Assumption,Official Guide 13th Edition,02:19:03
110,11/22/13,110,,Correct,,,,Critical Reasoning,Evaluate,Official Guide 13th Edition,01:32:01
111,03/12/13,1,E,Correct,E,,,Sentence Correction,Diction,Official Guide 13th Edition,
112,,2,C,Correct,C,,,Sentence Correction,Parallelism,Official Guide 13th Edition,
113,,3,D,Correct,D,,,Sentence Correction,Verb,Official Guide 13th Edition,
114,,4,B,Correct,B,,,Sentence Correction,Parallelism,Official Guide 13th Edition,
115,,5,E,Correct,E,,,Sentence Correction,Verb,Official Guide 13th Edition,
116,,6,E,Incorrect,A,,,Sentence Correction,Verb,Official Guide 13th Edition,
117,,7,B,Incorrect,E,,,Sentence Correction,Verb,Official Guide 13th Edition,
118,,8,E,Correct,E,,,Sentence Correction,Parallelism,Official Guide 13th Edition,
119,,9,B,Correct,B,,,Sentence Correction,"Diction, Logical Prediction",Official Guide 13th Edition,
120,,10,A,Correct,A,,,Sentence Correction,"Logical Prediction, Verb form",Official Guide 13th Edition,
121,,11,E,Correct,E,,,Sentence Correction,Logical Prediction,Official Guide 13th Edition,
122,,12,B,Correct,B,,,Sentence Correction,"Rhetoric construction, Verb form",Official Guide 13th Edition,
123,,13,D,Correct,D,,,Sentence Correction,"Parallelism, Verb form",Official Guide 13th Edition,
124,,14,E,Correct,E,,,Sentence Correction,Diction,Official Guide 13th Edition,
125,,15,D,Correct,D,,,Sentence Correction,Idiom; Logical predication; Parallelism,Official Guide 13th Edition,
126,,16,B,Incorrect,A,,,Sentence Correction,Agreement; Grammatical construction,Official Guide 13th Edition,
127,,17,E,Incorrect,A,,,Sentence Correction,Logical predication; Parallelism,Official Guide 13th Edition,
128,,18,E,Correct,E,,,Sentence Correction,Parallelism; Grammatical construction,Official Guide 13th Edition,
129,,19,B,Correct,B,,,Sentence Correction,Logical predication; Modification,Official Guide 13th Edition,
,,20,B,Correct,B,,,Sentence Correction,Verb form; Logical predication,Official Guide 13th Edition,
